"actors.first_name","actors.last_name"
"Scott","Hislop"
"Erik","Holland"
"Martin","Hub"
"Jonathan","Hyde"
"Emmett","James"
"Martin","Jarvis"
"Rudy","Joffroy"
"Craig (II)","Kelly"
"Tony (I)","Kenny"
"Jari (I)","Kinnunen"
"Martin (I)","Laing"
"James","Lancaster"
"Derek","Lea"
"Shep","Lonsdale"
"Johnny (I)","Martin"
"Stan","Mazin"
"Nick","Meaney"
"Patrick (IV)","Murphy"
"Sean","Nepita"
"Danny","Nucci"
"Mike (II)","O'Neal"
"Bjørn (I)","Olsen"
"Kevin","Owers"
"Oliver","Page"
"Lew","Palter"
"Dan (I)","Pettersson"
"Jonathan (I)","Phillips"
"Stephen Wolfe","Smith"
"Ewan (I)","Stewart"
"Béla","Szedlák"
"Ferenc","Szedlák"
"Rocky (I)","Taylor"
"Reece P.","Thompson III"
"R. Gern","Trowbridge"
"Mark Rafael","Truitt"
"Liam","Tuohy"
"Stephen","Twigger"
"Vern","Urich"
"Francisco","Váldez"
"John","Walcutt"
"Brian (II)","Walsh"
"David (I)","Warner"
"Stephen","Wehmeyer"
"Garth","Wilton"
"Billy","Zane"
"Suzy","Amis"
"Rosalind","Ayres"
"Bobbie","Bates"
"Kathy (I)","Bates"
"Dawn M.","Bourn"
"Alexandra","Boyd"
"Fannie","Brett"
"Charlotte","Chatton"
"Kathleen S.","Dunn"
"Frances (I)","Fisher"
"Anne","Fletcher"
"Amy","Gaipa"
"Aimee Amanda","Garten"
"Jo Lynn","Garten"
"Andie","Hicks"
"Samantha","Hunt"
"Linda","Kerns"
"Rebecca","Klingler"
"Laramie","Landis"
"Mandana","Marino"
"Diana (II)","Morgan"
"Ellen","O'Brien"
"Camilla","Overbye Roos"
"Alexandrea","Owens"
"Lisa","Ratzin"
"Elsa","Raven"
"Julene","Renee"
"Rochelle","Rose"
"Gloria","Stuart"
"Alison","Waddell"
"Amber","Waddell"
"Kate","Winslet"
"Margaret","Undiel"
"Martin","Amor"
"John (III)","Ashley"
"Robert (I)","Beatty"
"Glenn","Beck"
"Jimmy","Bell"
"Ed (I)","Bishop"
"David","Charkham"
"John (I)","Clifford"
"Simon (I)","Davis"
"Jonathan","Daw"
"Péter","Delmár"
"Terry (I)","Duggan"
"Keir","Dullea"
"David (II)","Fleetwood"
"Alan","Gifford"
"Danny","Grover"
"Brian (I)","Hawley"
"David (I)","Hines"
"Tony (I)","Jackson"
"John (X)","Jordan"
"Kenneth","Kendall"
"Gary","Lockwood"
"Mike","Lovell"
"Scott","MacKee"
"Laurence","Marchant"
"Frank (I)","Miller"
"Darryl","Paes"
"Douglas","Rain"
"Joe","Refalo"
"Daniel (I)","Richter"
"Leonard","Rossiter"
"Kevin (I)","Scott"
"Sean (I)","Sullivan"
"John","Swindells"
"William","Sylvester"
"Burnell","Tucker"
"Andy (I)","Wallace"
"Bill (I)","Weston"
"Bob","Wilyman"
"Richard (II)","Woods"
"Sheraton","Blount"
"Ann","Bormann"
"Penny","Brahms"
"Edwina","Carroll"
"Julie","Croft"
"Heather","Downham"
"Penny","Francis"
"Ann (I)","Gillis"
"Jane","Hayward"
"Vivian","Kubrick"
"Marcella","Markham"
"Krystyna","Marr"
"Kim","Neil"
"Jane","Pearl"
"Penny","Pearl"
"Margaret","Tyzack"
"Steven","Berkoff"
"John","Bindon"
"Roger","Booth"
"Billy","Boyle"
"Jonathan","Cecil"
"Peter","Cellier"
"Geoffrey","Chater"
"Anthony","Dawes"
"Patrick","Dawson"
"Bernard","Hepton"
"Anthony","Herrick"
"Michael","Hordern"
"Barry (I)","Jackson"
"Wolf","Kahler"
"Hardy","Krüger"
"Patrick","Laffan"
"Patrick (I)","Magee"
"Ferdy","Mayne"
"Murray","Melvin"
"Hans (I)","Meyer"
"Frank","Middlemass"
"André","Morell"
"David","Morley"
"Ryan","O'Neal"
"Arthur","O'Sullivan"
"Godfrey","Quigley"
"Liam","Redmond"
"Pat","Roach"
"Dominic","Savage"
"Frederick","Schiller"
"George","Sewell"
"Anthony","Sharp"
"John (I)","Sharp"
"Roy","Spencer"
"Philip (I)","Stone"
"John (I)","Sullivan"
"Gary (II)","Taylor"
"Harry","Towb"
"Leon","Vitali"
"Marisa","Berenson"
"Gay","Hamilton"
"Marie","Kean"
"Diana","Körner"
"Michael (I)","Bates"
"Peter","Burton"
"Lindsay (I)","Campbell"
"John J.","Carney"
"Warren","Clarke"
"John","Clive"
"Richard","Connaught"
"Barrie","Cookson"
"Carl","Duering"
"Paul (I)","Farrell"
"Lee","Fox"
"Clive","Francis"
"Michael","Gover"
"Heinrich","Himmler"
"Adolf","Hitler"
"Craig (I)","Hunter"
"Viktor","Lutze"
"James (II)","Marcus"
"Malcolm","McDowell"
"Aubrey","Morris"
"George","O'Gorman"
"David","Prowse"
"John","Savident"
"Michael","Tarn"
"Neil (I)","Wilson"
"Jan","Adair"
"Gaye","Brown"
"Vivienne","Chandler"
"Adrienne","Corri"
"Prudence","Drage"
"Carol","Drinkwater"
"Cheryl","Grunwald"
"Gillian","Hills"
"Shirley","Jaffe"
"Miriam","Karlin"
"Sheila","Raynor"
"Madge","Ryan"
"Barbara (V)","Scott"
"Pauline (I)","Taylor"
"Virginia","Wetherell"
"Katya","Wyeth"
"Vincent","Cartier"
"Walter","Cartier"
"Douglas (I)","Edwards"
"Nate","Fleischer"
"Bobby (II)","James"
"Stanley","Kubrick"
"Alexander","Singer"
"Judy (I)","Singer"
"Frank (I)","Berry"
"Peter (I)","Bull"
"Jack","Creley"
"Hal","Galili"
"Sterling","Hayden"
"Laurence","Herder"
"James Earl","Jones"
"John (I)","McCarthy"
"Robert (I)","O'Neil"
"Slim (I)","Pickens"
"Shane","Rimmer"
"George C.","Scott"
"Peter","Sellers"
"Roy","Stephens"
"Paul","Tamarin"
"Gordon (II)","Tanner"
"Keenan","Wynn"
"Tracy (II)","Reed"
"Colin","Angus"
"Peter (III)","Benson"
"Christian (II)","Clarke"
"Kevin","Connealy"
"Brian W.","Cook"
"Tom","Cruise"
"Alan","Cumming"
"Emilio","D'Alessandro"
"Phil (IV)","Davies"
"Ben","De Saumserez"
"James","Demaria"
"Anthony","Desergio"
"Sam (I)","Douglas"
"Michael","Doven"
"Sky","Dumont"
"Treva","Etienne"
"Todd","Field"
"Thomas (I)","Gibson"
"Gary","Goba"
"Peter (I)","Godwin"
"Lee","Henshaw"
"Alex","Hobbs"
"Togo","Igawa"
"Eiji","Kusuhara"
"Adam","Lias"
"Angus","MacInnes"
"Chris","Pare"
"Randall","Paul"
"Gavin","Perry"
"Sydney","Pollack"
"Adam","Pudney"
"Dan","Rollman"
"Rade","Serbedzija"
"Paul","Spelling"
"Matthew (II)","Thompson"
"Dan","Travers"
"Russell","Trigg"
"Kyle","Whitcombe"
"Florian","Windorfer"
"Karla","Ashley"
"Heather","Carter-Drake"
"Kathryn","Charman"
"Julienne","Davis"
"Janie","Dickens"
"Cindy","Dolenc"
"Madison","Eginton"
"Donna","Ewin"
"Laura","Fallace"
"Vanessa (II)","Fenton"
"Georgina","Finch"
"Abigail","Good"
"Tres","Hanley"
"Clark (I)","Hayes"
"Joanna","Heath"
"Mariana","Hewett"
"Nicole","Kidman"
"Christiane","Kubrick"
"Katharina","Kubrick"
"Lisa (I)","Leone"
"Leslie","Lowe"
"Carmela","Marner"
"Fay","Masterson"
"Ateeka","Poole"
"Sharon","Quinn"
"Marie","Richardson"
"Jackie","Sawiris"
"Emma Lou","Sharratt"
"Vinessa","Shaw"
"Leelee","Sobieski"
"Louise J.","Taylor"
"Stewart","Thorndike"
"Kate","Whalin"
"David (IX)","Allen"
"Stephen","Coit"
"Kenneth","Harp"
"Paul","Mazursky"
"Frank","Silvera"
"Virginia","Leith"
"Bob (II)","Hite"
"Fred","Stadmueller"
"Martin (I)","Adams"
"Kevin","Albridge"
"Del","Anderson"
"Philip","Bailey"
"Adam","Baldwin"
"Louis","Barlotti"
"John","Beddows"
"Patrick","Benn"
"Bruce","Boa"
"Steve","Boucher"
"Adrian","Bush"
"Tony (II)","Carey"
"Gary","Cheeseman"
"Costas Dino","Chimona"
"Wayne (I)","Clark"
"Tim","Colceri"
"Chris","Cornibert"
"Danny","Cornibert"
"John (II)","Curtis"
"Marcus","D'Amico"
"Vincent (I)","D'Onofrio"
"Harry (II)","Davies"
"John (IV)","Davis"
"Kevin (II)","Day"
"Gordon","Duncan"
"Peter","Edmund"
"Phil","Elmer"
"Colin","Elvis"
"R. Lee","Ermey"
"Hadrian","Follett"
"Tan Hung","Francione"
"Sean","Frank"
"David (I)","George"
"Brian","Goodwin"
"Nigel","Goulding"
"Tony","Hague"
"Steve","Hands"
"Dorian","Harewood"
"Chris (I)","Harris"
"Bob (II)","Hart"
"Derek (II)","Hart"
"Barry","Hayes"
"Tony (II)","Hayes"
"Kenneth","Head"
"Robin","Hedgeland"
"Duncan","Henry"
"Keith","Hodiak"
"Liam","Hogan"
"Trevor","Hogan"
"Luke","Hogdal"
"Arliss","Howard"
"Kevyn Major","Howard"
"Tony","Howard"
"Steve (II)","Hudson"
"Kieron","Jecchinis"
"Gil","Kopel"
"Sean","Lamming"
"Dan (I)","Landin"
"Tony","Leete"
"Sal","Lopez"
"Nigel","Lough"
"Terry (I)","Lowe"
"Chris","Maybach"
"Frank","McCardle"
"Peter","Merrill"
"Gary (I)","Meyer"
"Brett","Middleton"
"Gary Landon","Mills"
"David (I)","Milner"
"Sean","Minmagh"
"Tony","Minmagh"
"Matthew","Modine"
"John (VIII)","Morrison"
"Russell","Mott"
"John","Ness"
"Robert (V)","Nichols"
"Herbert","Norville"
"Ed","O'Ross"
"David","Palffy"
"David (I)","Perry"
"Nguyen Hue","Phong"
"Peter","Rommely"
"Pat","Sands"
"Jim","Sarup"
"Al (I)","Simpson"
"Russell","Slater"
"Gary (I)","Smith"
"Roger (VI)","Smith"
"Tony (II)","Smith"
"Jon","Stafford"
"Anthony","Styliano"
"Duc Hu","Ta"
"Kirk","Taylor"
"John (I)","Terry"
"Bill (IV)","Thompson"
"Mike","Turjansky"
"Ian","Tyler"
"Dan (I)","Weldon"
"Dennis","Wells"
"Michael (III)","Williams"
"John (V)","Wilson"
"John","Wonderling"
"Laurie","Gomes"
"Leanne","Hong"
"Ngoc","Le"
"Papillon","Soo"
"Skippy","Adelman"
"Mike (I)","Dana"
"Arthur","Feldman"
"Bill","Funaro"
"Jerry","Jarret"
"Shaun","O'Brien"
"Felice","Orlandi"
"Ralph (I)","Roberts"
"Alec","Rubin"
"Jamie (I)","Smith"
"Phil","Stevenson"
"David (I)","Vaughan"
"Barbara","Brand"
"Irene","Kane"
"Ruth","Sobotka"
"Jay","Adler"
"William 'Billy'","Benedict"
"Charles","Cane"
"Timothy","Carey"
"Elisha","Cook Jr."
"James (I)","Edwards"
"Vince","Edwards"
"Herbert (I)","Ellis"
"Jay C.","Flippen"
"Art","Gilmore"
"Kola","Kwariani"
"Steve (I)","Mitchell"
"Hal J.","Moore"
"Richard (I)","Reeves"
"Frank (I)","Richards"
"Joe","Sawyer"
"Joe","Turkel"
"Tito","Vuolo"
"Robert (I)","Williams"
"Dorothy","Adams"
"Mary (I)","Carroll"
"Cecil","Elliott"
"Coleen","Gray"
"Marie","Windsor"
"Irvin","Allen"
"Roland","Brand"
"Gary","Cockrell"
"Peter","Cushing"
"James (I)","Dyrenforth"
"Bill (I)","Greene"
"John (VII)","Harrison"
"Terry","Kilburn"
"Eric (I)","Lane"
"Christopher (I)","Lee"
"Cec","Linder"
"Colin","Maitland"
"James (I)","Mason"
"Robert C.","Overton"
"Craig","Sams"
"Jerry","Stovin"
"C. Denier","Warren"
"Diana","Decker"
"Shirley","Douglas"
"Susanne","Gibbs"
"Maxine","Holden"
"Isabelle","Lucas"
"Sue","Lyon"
"Marion","Mathie"
"Lois","Maxwell"
"Roberta","Shore"
"Marianne","Stone"
"Shelley","Winters"
"Richard (I)","Anderson"
"Fred","Bell"
"Harold","Benedict"
"Leon","Briggs"
"Paul","Bös"
"Peter","Capell"
"Kem","Dibbs"
"Bert","Freed"
"Wally","Friedrichs"
"Halder","Hanson"
"James B.","Harris"
"Jerry","Hausner"
"Rolf","Kralovitz"
"George","Macready"
"Ralph","Meeker"
"Adolphe","Menjou"
"Emile","Meyer"
"Ira","Moore"
"Wayne (I)","Morris"
"Marshall","Rainer"
"John (I)","Stein"
"Roger","Vagnoid"
"Dan","Hollenbeck"
"David","Baxt"
"Tony (I)","Burton"
"Scatman","Crothers"
"Norman","Gay"
"Danny","Lloyd"
"Barry (I)","Nelson"
"Jack","Nicholson"
"Manning","Redwood"
"Lia","Beldam"
"Lisa (I)","Burns"
"Louise (I)","Burns"
"Alison","Coleridge"
"Shelley","Duvall"
"Billie","Gibson"
"Anne","Jackson"
"Robin","Pappas"
"Kate","Phelps"
"Jana","Sheldon"
"Antonio","Banderas"
"Paul","Calderon"
"Quinn Thomas","Kellerman"
"Marc (I)","Lawrence"
"David","Proval"
"Paul","Skemp"
"Danny","Verduzco"
"Russell","Vossler"
"Bruce","Willis"
"Jennifer (I)","Beals"
"Sammi (I)","Davis"
"Amanda","De Cadenet"
"Valeria","Golino"
"Kathy","Griffin"
"Salma","Hayek"
"Rikee","Madoff"
"Unruly Julie","McClean"
"Lana","McKissack"
"Laura (I)","Rush"
"Ione","Skye"
"Lili","Taylor"
"Marisa","Tomei"
"Tamlyn","Tomita"
"Patricia","Vonne"
"Alicia","Witt"
"Robert","De Niro"
"Jeffrey","Deedrick"
"Robert (I)","Forster"
"Michael","Keaton"
"Tom 'Tiny'","Lister Jr."
"Gary","Mann"
"Roy","Nesvold"
"Chris (I)","Tucker"
"Ellis","Williams"
"Herbert Hans","Wilmsen"
"Tangie","Ambrose"
"Michelle","Berube"
"Candice","Briere"
"Denise","Crosby"
"Julia","Ervin"
"Bridget","Fonda"
"Aimee","Graham"
"Pam","Grier"
"Lisa Gay","Hamilton"
"Renee (II)","Kelly"
"T'Keyah Crystal","Keymáh"
"Juliet","Long"
"Laura","Lovelace"
"Christine","Lydon"
"Colleen","Mayne"
"Elizabeth","McInerney"
"Diana","Uribe"
"Gillian Iliana","Waters"
"Hattie","Winston"
"Allen","Garfield"
"Al","Harrell"
"Alan","Sanborn"
"Brenda","Hillhouse"
"Carl (I)","Allen"
"Alexis","Arquette"
"Don","Blakely"
"Eric (I)","Clark"
"Michael","Gilden"
"Peter (I)","Greene"
"Stephen","Hibbert"
"Jerome Patrick","Hoban"
"Phil","LaMarr"
"Chandler","Lindauer"
"Brad (I)","Parker"
"Joseph","Pilato"
"Ving","Rhames"
"Sy","Sher"
"Gary","Shorelle"
"Emil","Sitka"
"Eric","Stoltz"
"John","Travolta"
"Christopher","Walken"
"Frank","Whaley"
"Duane","Whitaker"
"Rosanna","Arquette"
"Maria","de Medeiros"
"Bronagh","Gallagher"
"Susan","Griffiths"
"Angela (I)","Jones"
"Lorelei","Leslie"
"Karen","Maruyama"
"Amanda","Plummer"
"Ani","Sava"
"Julia","Sweeney"
